SpecID,LabelBinomial,Measure,MeasureNo,Value,Date,Side
SI_578784,Microgale_parvula,16_MTR,1,6.75,26/03/2013,right
SI_578784,Microgale_parvula,17_CorP,1,3.4,26/03/2013,right
SI_578784,Microgale_parvula,18_ConY,1,2.27,26/03/2013,right
SI_578784,Microgale_parvula,19_CorCon,1,2.58,26/03/2013,right
SI_578784,Microgale_parvula,15_ML,2,11.04,26/03/2013,right
SI_578784,Microgale_parvula,16_MTR,2,7.21,26/03/2013,right
SI_578784,Microgale_parvula,17_CorP,2,3.33,26/03/2013,right
SI_578784,Microgale_parvula,18_ConY,2,2.14,26/03/2013,right
SI_578784,Microgale_parvula,19_CorCon,2,2.63,26/03/2013,right
SI_578784,Microgale_parvula,15_ML,3,11.04,26/03/2013,right
SI_578784,Microgale_parvula,16_MTR,3,7.25,26/03/2013,right
SI_578784,Microgale_parvula,17_CorP,3,3.37,26/03/2013,right
SI_578784,Microgale_parvula,18_ConY,3,2.36,26/03/2013,right
SI_578784,Microgale_parvula,19_CorCon,3,2.42,26/03/2013,right
SI_449179,Microgale_gracilis,15_ML,1,20.65,26/03/2013,right
SI_449179,Microgale_gracilis,16_MTR,1,13.49,26/03/2013,right
SI_449179,Microgale_gracilis,17_CorP,1,6.09,26/03/2013,right
SI_449179,Microgale_gracilis,18_ConY,1,3.67,08/04/2013,right
SI_449179,Microgale_gracilis,19_CorCon,1,3.81,26/03/2013,right
SI_449179,Microgale_gracilis,15_ML,2,20.91,26/03/2013,right
SI_449179,Microgale_gracilis,16_MTR,2,13.19,26/03/2013,right
SI_449179,Microgale_gracilis,17_CorP,2,5.72,26/03/2013,right
SI_449179,Microgale_gracilis,18_ConY,2,3.66,08/04/2013,right
SI_449179,Microgale_gracilis,19_CorCon,2,3.76,26/03/2013,right
SI_449179,Microgale_gracilis,15_ML,3,20.97,26/03/2013,right
SI_449179,Microgale_gracilis,16_MTR,3,13.19,26/03/2013,right
SI_449179,Microgale_gracilis,17_CorP,3,6.12,26/03/2013,right
SI_449179,Microgale_gracilis,18_ConY,3,3.64,08/04/2013,right
SI_449179,Microgale_gracilis,19_CorCon,3,3.76,26/03/2013,right
SI_578787,Microgale_fotsifotsy,15_ML,1,13.16,26/03/2013,right
SI_578787,Microgale_fotsifotsy,16_MTR,1,7.63,26/03/2013,right
