ID,Image,SpecID,Skull,Order_05,Suborder_05,Family_05,Genus_05,Subgenus_05,Species_05,Subspecies_05,Binomial_05,Trinomial_05
1,'AMNH_161526_cr_dr_1A_26_04_2013.TIF',AMNH_161526,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chlorotalpa,,duthieae,,Chlorotalpa_duthieae,
2,'AMNH_161527_cr_dr_1A_26_04_2013.TIF',AMNH_161527,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chlorotalpa,,duthieae,,Chlorotalpa_duthieae,
3,'AMNH_161559_cr_dr_1A_26_04_2013.TIF',AMNH_161559,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Eremitalpa,,granti,granti,Eremitalpa_granti,Eremitalpa_granti_granti
4,'AMNH_161571_cr_dr_1A_26_04_2013.TIF',AMNH_161571,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Eremitalpa,,granti,granti,Eremitalpa_granti,Eremitalpa_granti_granti
5,'AMNH_167961_cr_dr_1A_26_04_2013.TIF',AMNH_167961,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochloris,,asiatica,,Chrysochloris_asiatica,
6,'AMNH_180911_cr_dr_1A_26_04_2013.TIF',AMNH_180911,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochloris,Kilimatalpa,stuhlmanni,,Chrysochloris_stuhlmanni,
7,'AMNH_180912_cr_dr_1A_26_04_2013.TIF',AMNH_180912,Y,Afrosoricida,Chrysochloridea,Chrysochloridae,Chrysochloris,Kilimatalpa,stuhlmanni,,Chrysochloris_stuhlmanni,
8,'AMNH_212938_cr_dr_1A_25_04_2013.TIF',AMNH_212938,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Hemicentetes,,semispinosus,,Hemicentetes_semispinosus,
9,'AMNH_274982_cr_dr_1A_22_04_2013.TIF',AMNH_274982,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,jobihely,,Microgale_jobihely,
10,'AMNH_274986_cr_dr_1A_22_04_2013.TIF',AMNH_274986,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,jobihely,,Microgale_jobihely,
11,'AMNH_274987_cr_dr_1A_22_04_2013.TIF',AMNH_274987,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,jobihely,,Microgale_jobihely,
12,'AMNH_274988_cr_dr_1A_22_04_2013.TIF',AMNH_274988,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,jobihely,,Microgale_jobihely,
13,'AMNH_274989_cr_dr_1A_22_04_2013.TIF',AMNH_274989,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,jobihely,,Microgale_jobihely,
14,'AMNH_275041_cr_dr_1A_23_04_2013.TIF',AMNH_275041,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,soricoides,,Microgale_soricoides,
15,'AMNH_275088_cr_dr_1A_24_04_2013.TIF',AMNH_275088,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,drouhardi,,Microgale_drouhardi,
16,'AMNH_275089_cr_dr_1A_24_04_2013.TIF',AMNH_275089,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,drouhardi,,Microgale_drouhardi,
17,'AMNH_275090_cr_dr_1A_24_04_2013.TIF',AMNH_275090,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,drouhardi,,Microgale_drouhardi,
18,'AMNH_275092_cr_dr_1A_24_04_2013.TIF',AMNH_275092,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,drouhardi,,Microgale_drouhardi,
19,'AMNH_275095_cr_dr_1A_24_04_2013.TIF',AMNH_275095,Y,Afrosoricida,Tenrecomorpha,Tenrecidae,Microgale,,drouhardi,,Microgale_drouhardi,
